Star     Type  Teff  Ind_Be logN_Be sig_Be  Ind_Li logN_Li
BD-103166  1   5320    1    0.50     NaN     1      NaN
HD_6434    1   5835    1    1.08    0.10     0      0.8
HD_9826    1   6212    1    1.05    0.13     1      2.55
HD_10647   1   6143    1    1.19    0.10     1      2.80
HD_10697   1   5641    1    1.31    0.13     1      1.96
HD_12661   1   5702    1    1.13    0.13     0      0.98
HD_13445   1   5613    0    0.40     NaN     0     -0.12
HD_16141   1   5801    1    1.17    0.13     1      1.11
HD_17051   1   6252    1    1.03    0.13     1      2.66
HD_19994   1   6109    1    0.93    0.12     1      1.99
HD_22049   1   5073    1    0.77     NaN     0      0.25
HD_27442   1   4825    0    0.30     NaN     0     -0.47
HD_38529   1   5674    0   -0.10     NaN     0      0.61
HD_46375   1   5268    0    0.80     NaN     0     -0.02
HD_52265   1   6103    1    1.25    0.11     1      2.88
HD_75289   1   6143    1    1.36     NaN     1      2.85
HD_82943   1   6016    1    1.27     NaN     1      2.51
HD_92799   1   5821    1    1.19    0.11     1      1.34
HD_95128   1   5924    1    1.23    0.11     1      1.83
HD_108147  1   6248    1    0.99    0.10     1      2.33
HD_114762  1   5884    1    0.82    0.11     1      2.20
HD_117176  1   5560    1    0.86    0.13     1      1.88
HD_120136  1   6339    0    0.25     NaN     1       NaN
HD_121504  1   6075    1    1.33    0.11     1      2.65
HD_130322  1   5392    1    0.95    0.13     0      0.13
HD_134987  1   5776    1    1.22    0.11     0      0.74
HD_143761  1   5853    1    1.11    0.12     1      1.46
HD_145675  1   5311    0    0.65     NaN     0      0.03
HD_169830  1   6299    0   -0.40     NaN     0      1.16
HD_179949  1   6260    1    1.08    0.10     1      2.65
HD_187123  1   5845    1    1.08    0.12     1      1.21
HD_192263  1   4947    0    0.90     NaN     0     -0.39
HD_195019  1   5842    1    1.15    0.12     1      1.47
HD_202206  1   5752    1    1.04    0.11     1      1.04
HD_209458  1   6117    1    1.24    0.11     1      2.70
HD_210277  1   5532    1    0.91    0.13     0      0.30
HD_217014  1   5804    1    1.02    0.12     1      1.30
HD_217107  1   5646    1    0.96    0.13     0      0.40
HD_222582  1   5843    1    1.14    0.11     0      0.59
HD_870     2   5447    1    0.80    0.15     0      0.20
HD_1461    2   5768    1    1.14    0.13     0      0.51
HD_1581    2   5956    1    1.15    0.11     1      2.37
HD_3823    2   5948    1    1.02    0.12     1      2.41
HD_4391    2   5878    1    0.75    0.11     0      1.09
HD_7570    2   6140    1    1.17    0.10     1      2.91
HD_10700   2   5344    1    0.83    0.11     0      0.41
HD_14412   2   5368    1    0.80    0.11     0      0.44
HD_20010   2   6275    1    1.01    0.10     1      2.13
HD_20766   2   5733    0   -0.09     NaN     0      0.97
HD_20794   2   5444    1    0.91    0.11     0      0.52
HD_20807   2   5843    1    0.36    0.11     0      1.07
HD_23249   2   5074    0    0.15     NaN     1      1.24
HD_23484   2   5176    0    0.70     NaN     0      0.40
HD_26965A  2   5126    1    0.76    0.13     0      0.17
HD_30495   2   5768    1    1.16    0.11     1      2.44
HD_36435   2   5479    1    0.99    0.12     1      1.67
HD_38858   2   5752    1    1.02    0.11     1      1.64
HD_43162   2   5633    1    1.08    0.11     1      2.34
HD_43834   2   5594    1    0.94    0.11     1      2.30
HD_69830   2   5410    1    0.79    0.11     0      0.47
HD_72673   2   5242    1    0.70    0.13     0      0.48
HD_74576   2   5000    1    0.70    0.31     1      1.72
HD_76151   2   5803    1    1.02    0.11     1      1.88
HD_85117   2   6167    1    1.11    0.11     1      2.64
HD_189567  2   5765    1    1.06    0.10     0      0.82
HD_192310  2   5069    0    0.60     NaN     0      0.20
HD_211415  2   5890    1    1.12    0.10     1      1.92
HD_222335  2   5260    1    0.66    0.22     0      0.31
